date,Day,DayWeek ,detail expands,engagement rate,engagements,hashtag clicks,impressions,likes,media engagements,media views,month,MonthName,Quarter,replies,retweets,time,Tweet,url clicks,user profile clicks,year
2020-08-01 00:00:00,1,Saturday,77,0.025984463,97,0,3733,9,0,0,8,August,Q3,6,0,1899-12-30 17:50:00,nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum #adipiscing,0,5,2020
2020-08-01 00:00:00,1,Saturday,93,0.081331568,430,6,5287,32,168,168,8,August,Q3,7,6,1899-12-30 01:36:00,sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat #ante,93,25,2020
2020-10-01 00:00:00,1,Thursday,0,0,0,0,47,0,0,0,10,October,Q4,0,0,1899-12-30 19:04:00,cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi #a,0,0,2020
2020-10-01 00:00:00,1,Thursday,0,0,0,0,301,0,0,0,10,October,Q4,0,0,1899-12-30 04:13:00,dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec #mauris,0,0,2020
2020-10-01 00:00:00,1,Thursday,0,0.009478673,2,0,211,1,0,0,10,October,Q4,1,0,1899-12-30 23:28:00,non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet #pellentesque,0,0,2020
2020-10-01 00:00:00,1,Thursday,0,0.010362694,2,0,193,2,0,0,10,October,Q4,0,0,1899-12-30 00:14:00,sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse #iaculis,0,0,2020
2020-10-01 00:00:00,1,Thursday,0,0.011111111,1,0,90,1,0,0,10,October,Q4,0,0,1899-12-30 22:50:00,nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus #sed,0,0,2020
2020-10-01 00:00:00,1,Thursday,0,0.018779343,4,0,213,1,2,26,10,October,Q4,0,0,1899-12-30 17:55:00,sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi #odio,0,1,2020
2020-10-01 00:00:00,1,Thursday,0,0.018867925,3,0,159,2,0,0,10,October,Q4,1,0,1899-12-30 19:51:00,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec #varius,0,0,2020
2020-10-01 00:00:00,1,Thursday,0,0.020833333,2,0,96,1,0,16,10,October,Q4,1,0,1899-12-30 18:01:00,nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit #etiam,0,0,2020
2020-10-01 00:00:00,1,Thursday,0,0.033898305,2,0,59,1,0,0,10,October,Q4,1,0,1899-12-30 18:01:00,nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim #eleifend,0,0,2020
2020-10-01 00:00:00,1,Thursday,0,0.130434783,6,0,46,1,0,0,10,October,Q4,0,0,1899-12-30 07:22:00,sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh #elementum,5,0,2020
2020-10-01 00:00:00,1,Thursday,1,0.004761905,3,0,630,2,0,0,10,October,Q4,0,0,1899-12-30 19:48:00,justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum #sit,0,0,2020
2020-10-01 00:00:00,1,Thursday,1,0.02016129,5,0,248,3,0,0,10,October,Q4,1,0,1899-12-30 17:54:00,porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum #blandit,0,0,2020
2020-10-01 00:00:00,1,Thursday,1,0.025751073,6,0,233,2,1,136,10,October,Q4,0,0,1899-12-30 17:59:00,donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus #in,0,2,2020
2020-10-01 00:00:00,1,Thursday,2,0.023923445,5,0,209,2,0,0,10,October,Q4,1,0,1899-12-30 18:01:00,ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id #placerat,0,0,2020
2020-10-01 00:00:00,1,Thursday,2,0.03960396,12,0,303,4,4,76,10,October,Q4,1,0,1899-12-30 04:59:00,imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula #orci,0,1,2020
2020-10-01 00:00:00,1,Thursday,3,0.012315271,5,0,406,0,0,0,10,October,Q4,0,0,1899-12-30 22:45:00,magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida #hac,2,0,2020
2020-10-01 00:00:00,1,Thursday,4,0.084087969,65,0,773,6,52,52,10,October,Q4,1,0,1899-12-30 19:44:00,justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor #quisque,2,0,2020
2020-10-01 00:00:00,1,Thursday,7,0.014379085,11,0,765,1,0,0,10,October,Q4,3,0,1899-12-30 17:54:00,pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae #nunc,0,0,2020
2020-10-01 00:00:00,1,Thursday,79,0.095671982,168,0,1756,14,0,0,10,October,Q4,3,1,1899-12-30 22:36:00,fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh #rutrum,68,3,2020
2020-09-01 00:00:00,1,Tuesday,0,0,0,0,198,0,0,0,9,September,Q3,0,0,1899-12-30 16:46:00,quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse #interdum,0,0,2020
2020-09-01 00:00:00,1,Tuesday,0,0.006896552,1,0,145,0,0,0,9,September,Q3,1,0,1899-12-30 22:27:00,id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis #natoque,0,0,2020
2020-09-01 00:00:00,1,Tuesday,0,0.025510204,5,0,196,2,0,0,9,September,Q3,1,0,1899-12-30 22:55:00,nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus #sapien,0,2,2020
2020-09-01 00:00:00,1,Tuesday,1,0.005586592,1,0,179,0,0,28,9,September,Q3,0,0,1899-12-30 21:58:00,luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est #eu,0,0,2020
2020-09-01 00:00:00,1,Tuesday,1,0.019047619,4,0,210,3,0,0,9,September,Q3,0,0,1899-12-30 20:31:00,hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas #integer,0,0,2020
2020-09-01 00:00:00,1,Tuesday,1,0.022727273,3,0,132,2,0,29,9,September,Q3,0,0,1899-12-30 22:54:00,cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum #in,0,0,2020
2020-09-01 00:00:00,1,Tuesday,1,0.029490617,11,0,373,6,0,0,9,September,Q3,0,1,1899-12-30 23:21:00,nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis #mauris,0,3,2020
2020-09-01 00:00:00,1,Tuesday,3,0.021978022,8,0,364,1,0,0,9,September,Q3,1,0,1899-12-30 00:43:00,montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id #nam,0,3,2020
2020-09-01 00:00:00,1,Tuesday,3,0.024,3,0,125,0,0,15,9,September,Q3,0,0,1899-12-30 22:46:00,platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit #neque,0,0,2020
2020-09-01 00:00:00,1,Tuesday,3,0.050632911,4,0,79,0,0,0,9,September,Q3,1,0,1899-12-30 23:40:00,cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis #egestas,0,0,2020
2020-09-01 00:00:00,1,Tuesday,4,0.02173913,22,5,1012,8,3,187,9,September,Q3,0,0,1899-12-30 16:12:00,interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque #sed,0,2,2020
2020-09-01 00:00:00,1,Tuesday,4,0.024774775,11,0,444,0,0,0,9,September,Q3,0,0,1899-12-30 17:25:00,curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus #pulvinar,7,0,2020
2020-09-01 00:00:00,1,Tuesday,5,0.026315789,9,0,342,2,2,64,9,September,Q3,0,0,1899-12-30 22:55:00,amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur #nulla,0,0,2020
2020-09-01 00:00:00,1,Tuesday,7,0.06779661,8,0,118,0,0,0,9,September,Q3,1,0,1899-12-30 22:41:00,primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet #id,0,0,2020
2020-09-01 00:00:00,1,Tuesday,9,0.209809264,231,0,1101,2,0,0,9,September,Q3,0,0,1899-12-30 22:31:00,ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac #convallis,217,3,2020
2020-09-01 00:00:00,1,Tuesday,17,0.045915325,77,2,1677,20,0,0,9,September,Q3,1,4,1899-12-30 20:41:00,aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere #eget,33,0,2020
2020-07-01 00:00:00,1,Wednesday,0,0,0,0,347,0,0,0,7,July,Q3,0,0,1899-12-30 06:04:00,sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus #erat,0,0,2020
2020-07-01 00:00:00,1,Wednesday,0,0.016304348,6,0,368,2,0,0,7,July,Q3,2,0,1899-12-30 08:02:00,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi #vestibulum,0,2,2020
2020-07-01 00:00:00,1,Wednesday,1,0.005865103,2,0,341,0,0,0,7,July,Q3,1,0,1899-12-30 06:00:00,est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices #sollicitudin,0,0,2020
2020-07-01 00:00:00,1,Wednesday,1,0.010958904,4,0,365,1,0,0,7,July,Q3,0,0,1899-12-30 02:39:00,id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat #tellus,0,2,2020
2020-07-01 00:00:00,1,Wednesday,2,0.005607477,9,0,1605,6,0,0,7,July,Q3,0,1,1899-12-30 22:01:00,duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis #ante,0,0,2020
2020-07-01 00:00:00,1,Wednesday,3,0.02690583,30,0,1115,6,9,9,7,July,Q3,2,1,1899-12-30 17:57:00,libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus #non,8,1,2020
2020-07-01 00:00:00,1,Wednesday,3,0.04040404,16,3,396,6,0,0,7,July,Q3,2,0,1899-12-30 06:09:00,sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci #ultrices,0,2,2020
2020-07-01 00:00:00,1,Wednesday,110,0.043431921,163,2,3753,39,0,0,7,July,Q3,10,0,1899-12-30 20:05:00,odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula #luctus,0,2,2020
2020-07-01 00:00:00,1,Wednesday,336,0.15814664,1553,0,9820,83,1063,1063,7,July,Q3,16,5,1899-12-30 05:55:00,justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius #est,10,40,2020
2020-10-02 00:00:00,2,Friday,0,0.019900498,4,0,201,3,1,27,10,October,Q4,0,0,1899-12-30 18:48:00,eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in #molestie,0,0,2020
2020-10-02 00:00:00,2,Friday,2,0.007223114,9,0,1246,5,0,0,10,October,Q4,2,0,1899-12-30 02:09:00,non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce #ultrices,0,0,2020
2020-10-02 00:00:00,2,Friday,3,0.166666667,5,0,30,1,1,5,10,October,Q4,0,0,1899-12-30 04:42:00,purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla #in,0,0,2020
2020-10-02 00:00:00,2,Friday,8,0.021276596,8,0,376,0,0,0,10,October,Q4,0,0,1899-12-30 03:11:00,proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec #dapibus,0,0,2020
2020-10-02 00:00:00,2,Friday,20,0.200620476,194,0,967,6,160,160,10,October,Q4,0,0,1899-12-30 08:45:00,non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu #rutrum,3,5,2020
2020-10-02 00:00:00,2,Friday,36,0.020301244,62,1,3054,16,0,0,10,October,Q4,9,0,1899-12-30 06:19:00,pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci #ipsum,0,0,2020
2020-08-02 00:00:00,2,Sunday,0,0.006944444,1,0,144,1,0,0,8,August,Q3,0,0,1899-12-30 07:08:00,nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus #molestie,0,0,2020
2020-08-02 00:00:00,2,Sunday,1,0.005434783,3,0,552,2,0,0,8,August,Q3,0,0,1899-12-30 00:14:00,eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at #elementum,0,0,2020
2020-08-02 00:00:00,2,Sunday,7,0.02173913,21,0,966,6,5,185,8,August,Q3,2,0,1899-12-30 18:28:00,amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla #eros,0,1,2020
2020-08-02 00:00:00,2,Sunday,8,0.083932854,35,0,417,1,22,937,8,August,Q3,0,1,1899-12-30 06:54:00,tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh #ut,0,3,2020
2020-07-02 00:00:00,2,Thursday,0,0.01,1,0,100,1,0,0,7,July,Q3,0,0,1899-12-30 06:10:00,suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec #porta,0,0,2020
2020-07-02 00:00:00,2,Thursday,0,0.08045977,42,0,522,2,38,38,7,July,Q3,0,0,1899-12-30 23:08:00,mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus #platea,2,0,2020
2020-07-02 00:00:00,2,Thursday,2,0.019073569,7,0,367,2,0,0,7,July,Q3,1,0,1899-12-30 00:29:00,sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas #sed,0,2,2020
2020-07-02 00:00:00,2,Thursday,2,0.02739726,8,0,292,3,0,0,7,July,Q3,2,0,1899-12-30 06:03:00,potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed #ligula,0,1,2020
2020-07-02 00:00:00,2,Thursday,3,0.037735849,4,0,106,1,0,0,7,July,Q3,0,0,1899-12-30 21:32:00,convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh #diam,0,0,2020
2020-07-02 00:00:00,2,Thursday,4,0.012552301,15,0,1195,11,0,0,7,July,Q3,0,0,1899-12-30 01:52:00,curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit #integer,0,0,2020
2020-07-02 00:00:00,2,Thursday,7,0.021276596,13,0,611,6,0,0,7,July,Q3,0,0,1899-12-30 08:17:00,nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat #cras,0,0,2020
2020-07-02 00:00:00,2,Thursday,12,0.096969697,16,0,165,3,0,0,7,July,Q3,1,0,1899-12-30 21:31:00,phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget #fermentum,0,0,2020
2020-07-02 00:00:00,2,Thursday,20,0.069252078,25,0,361,1,0,0,7,July,Q3,3,0,1899-12-30 22:27:00,quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque #vitae,0,1,2020
2020-06-02 00:00:00,2,Tuesday,0,0.004070556,3,0,737,3,0,0,6,June,Q2,0,0,1899-12-30 06:44:00,orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in #non,0,0,2020
2020-06-02 00:00:00,2,Tuesday,0,0.004587156,2,0,436,2,0,0,6,June,Q2,0,0,1899-12-30 21:40:00,integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent #diam,0,0,2020
2020-06-02 00:00:00,2,Tuesday,2,0.00621118,4,0,644,1,0,0,6,June,Q2,0,0,1899-12-30 07:02:00,nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare #ac,1,0,2020
2020-06-02 00:00:00,2,Tuesday,3,0.01980198,4,0,202,1,0,0,6,June,Q2,0,0,1899-12-30 22:56:00,feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam #mauris,0,0,2020
2020-06-02 00:00:00,2,Tuesday,3,0.02283105,5,0,219,2,0,0,6,June,Q2,0,0,1899-12-30 05:46:00,vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum #auctor,0,0,2020
2020-06-02 00:00:00,2,Tuesday,117,0.062805566,167,0,2659,27,0,0,6,June,Q2,2,1,1899-12-30 23:04:00,ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis #donec,1,19,2020
2020-09-02 00:00:00,2,Wednesday,0,0.032258065,4,0,124,3,0,0,9,September,Q3,1,0,1899-12-30 07:06:00,suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi #blandit,0,0,2020
2020-09-02 00:00:00,2,Wednesday,1,0.020746888,5,0,241,1,3,69,9,September,Q3,0,0,1899-12-30 00:38:00,ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor #nisl,0,0,2020
2020-09-02 00:00:00,2,Wednesday,4,0.018159806,15,0,826,6,4,154,9,September,Q3,0,0,1899-12-30 17:41:00,ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit #proin,0,1,2020
2020-09-02 00:00:00,2,Wednesday,8,0.008986928,11,0,1224,2,0,0,9,September,Q3,1,0,1899-12-30 20:22:00,vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum #integer,0,0,2020
2020-07-03 00:00:00,3,Friday,0,0.009803922,1,0,102,0,0,15,7,July,Q3,1,0,1899-12-30 19:57:00,lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo #pede,0,0,2020
2020-07-03 00:00:00,3,Friday,0,0.028089888,5,0,178,2,2,26,7,July,Q3,0,0,1899-12-30 19:53:00,nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed #sodales,0,1,2020
2020-07-03 00:00:00,3,Friday,2,0.011070111,6,0,542,2,0,0,7,July,Q3,1,0,1899-12-30 00:38:00,eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus #pellentesque,0,1,2020
2020-07-03 00:00:00,3,Friday,2,0.014184397,4,0,282,1,0,0,7,July,Q3,1,0,1899-12-30 17:56:00,tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue #dictumst,0,0,2020
2020-07-03 00:00:00,3,Friday,4,0.051813472,20,0,386,14,0,0,7,July,Q3,0,0,1899-12-30 07:06:00,tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam #in,0,2,2020
2020-07-03 00:00:00,3,Friday,4,0.091331269,59,0,646,5,48,48,7,July,Q3,2,0,1899-12-30 21:13:00,quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam #consectetuer,0,0,2020
2020-07-03 00:00:00,3,Friday,6,0.031518625,11,0,349,2,0,0,7,July,Q3,2,0,1899-12-30 07:15:00,etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non #sed,0,1,2020
2020-07-03 00:00:00,3,Friday,11,0.036755387,29,12,789,5,0,0,7,July,Q3,1,0,1899-12-30 07:19:00,vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing #sit,0,0,2020
2020-07-03 00:00:00,3,Friday,42,0.018303571,82,0,4480,11,0,0,7,July,Q3,0,4,1899-12-30 01:25:00,interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue #aliquam,12,13,2020
2020-08-03 00:00:00,3,Monday,0,0,0,0,52,0,0,0,8,August,Q3,0,0,1899-12-30 19:17:00,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis #duis,0,0,2020
2020-08-03 00:00:00,3,Monday,0,0,0,0,174,0,0,27,8,August,Q3,0,0,1899-12-30 20:24:00,varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis #ut,0,0,2020
